KeyDown apps 
MouseMove 179 228
MouseMove 181 230
MouseMove 184 231
MouseMove 185 232
MouseMove 187 233
MouseMove 187 235
MouseMove 188 235
MouseMove 189 236
MouseMove 189 237
MouseMove 190 238
MouseMove 191 241
MouseMove 192 242
MouseMove 194 243
MouseMove 195 244
MouseMove 195 245
MouseMove 196 246
MouseMove 196 248
MouseMove 197 248
MouseMove 197 249
MouseMove 198 250
MouseMove 199 251
MouseMove 199 252
MouseMove 201 253
MouseMove 202 255
MouseMove 203 256
MouseMove 203 257
MouseMove 204 258
MouseMove 204 259
MouseMove 205 259
MouseMove 205 260
MouseMove 205 262
MouseMove 206 262
MouseMove 206 263
MouseMove 208 264
MouseMove 209 265
MouseMove 209 266
MouseMove 210 266
MouseMove 210 267
MouseMove 211 267
MouseMove 212 269
MouseMove 213 270
MouseMove 215 270
MouseMove 216 271
MouseMove 217 271
MouseMove 217 272
MouseMove 218 272
MouseMove 219 272
MouseMove 220 272
MouseMove 222 275
MouseMove 224 275
MouseMove 226 276
MouseMove 230 278
MouseMove 232 280
MouseMove 237 281
MouseMove 240 283
MouseMove 244 283
MouseMove 249 284
MouseMove 253 286
MouseMove 259 287
MouseMove 268 289
MouseMove 282 291
MouseMove 299 293
MouseMove 315 293
MouseMove 335 293
MouseMove 351 295
MouseMove 365 295
MouseMove 376 295
MouseMove 387 295
MouseMove 396 295
MouseMove 402 295
MouseMove 408 295
MouseMove 414 295
MouseMove 420 295
MouseMove 427 295
MouseMove 433 295
MouseMove 439 293
MouseMove 445 292
MouseMove 451 292
MouseMove 456 292
MouseMove 459 290
MouseMove 461 290
MouseMove 464 290
MouseMove 465 289
MouseMove 467 289
MouseMove 467 288
MouseMove 469 288
MouseMove 470 288
MouseDown 470 288 Left
MouseMove 470 287
MouseMove 470 286
MouseMove 470 284
MouseMove 470 283
KeyDown lmenu 
KeyDown lmenu f4 
