KeyDown lshiftkey 
KeyDown lshiftkey h 
KeyDown lmenu 
KeyDown f4 
MouseMove 210 277
MouseMove 213 278
MouseMove 216 280
MouseMove 221 283
MouseMove 224 285
MouseMove 229 287
MouseMove 232 289
MouseMove 236 291
MouseMove 239 293
MouseMove 242 295
MouseMove 247 298
MouseMove 252 301
MouseMove 255 303
MouseMove 261 306
MouseMove 266 309
MouseMove 272 312
MouseMove 279 317
MouseMove 288 322
MouseMove 299 329
MouseMove 314 338
MouseMove 335 350
MouseMove 361 363
MouseMove 385 379
MouseMove 417 395
MouseMove 447 405
MouseMove 485 416
MouseMove 526 429
MouseMove 575 445
MouseMove 619 462
MouseMove 666 479
MouseMove 699 494
MouseMove 733 506
MouseMove 763 516
MouseMove 788 525
MouseMove 813 535
MouseMove 836 544
MouseMove 854 552
MouseMove 870 561
MouseMove 883 568
MouseMove 894 576
MouseMove 907 583
MouseMove 919 589
MouseMove 931 594
MouseMove 945 599
MouseMove 958 605
MouseMove 970 610
MouseMove 981 615
KeyDown tab 
MouseMove 991 619
MouseMove 1008 628
MouseMove 1016 631
MouseMove 1026 635
MouseMove 1034 639
MouseMove 1043 644
MouseMove 1053 647
MouseMove 1060 651
MouseMove 1067 655
MouseMove 1074 658
MouseMove 1080 662
MouseMove 1086 664
MouseMove 1092 666
MouseMove 1096 668
MouseMove 1101 670
MouseMove 1105 670
MouseMove 1108 671
MouseMove 1110 672
MouseMove 1112 672
MouseMove 1113 672
MouseMove 1114 672
MouseMove 1115 672
MouseMove 1116 672
MouseMove 1117 672
MouseMove 1117 671
MouseMove 1117 669
MouseMove 1116 668
MouseMove 1114 666
MouseMove 1112 663
MouseMove 1108 661
MouseMove 1105 659
MouseMove 1100 656
MouseMove 1094 653
MouseMove 1090 652
MouseMove 1085 649
MouseMove 1079 648
MouseMove 1074 646
MouseMove 1067 645
MouseMove 1061 643
MouseMove 1055 642
MouseMove 1051 640
MouseMove 1046 639
MouseMove 1044 639
MouseMove 1041 638
MouseMove 1038 637
MouseMove 1035 636
MouseMove 1031 636
MouseMove 1027 636
MouseMove 1024 636
MouseMove 1022 636
MouseMove 1019 635
MouseMove 1017 635
MouseMove 1016 635
MouseMove 1015 634
MouseMove 1013 634
MouseMove 1013 633
MouseMove 1012 632
MouseMove 1011 631
MouseMove 1010 630
MouseMove 1009 629
MouseMove 1008 627
MouseMove 1006 627
MouseMove 1005 624
MouseMove 1004 623
MouseMove 1003 622
MouseMove 1002 621
MouseMove 1000 620
MouseMove 1000 619
MouseMove 999 618
MouseMove 998 617
MouseMove 997 617
MouseMove 997 616
MouseMove 996 615
MouseMove 996 614
MouseMove 996 613
MouseMove 995 612
MouseMove 995 611
MouseMove 994 610
MouseMove 994 609
MouseMove 994 608
MouseMove 993 608
MouseMove 993 607
MouseDown 993 607 Left
